  ,Data    (dd/mm/aaaa),Hora local (hh:mm),Hora UTC (hh:mm),Tmáx (°C),Tmin (°C),Tar (°C),TH2O ev (°C),U2 (m/s),Direção do vento,Tar 2 (°C),Prp (mm/dia),Soma de Prp (mm/dia),pluv. alternativo (ml),Ev (mm),Ev (mm)*,Patm (mbar),Tmáx Real (ºC),Tmin Real (ºC),Tméd (ºC),esTU,ea,es,UR (%),Ev (mm/dia),Tanque,Evento,Visibilidade,Nuvem,Cobertura do céu,Observadores
quinta,01/01,09:00,12:00,"33,60","22,50","29,20","28,00",,L,,"3,00",,,"80,80",,,"33,60","22,50","28,05","37,80","36,84","40,52","90,91","5,91",,1,1,1,2,Joshuan
quinta,01/01,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,02/01,09:00,12:00,"33,80","22,70","28,60","27,20",,,,"13,75",,,"88,12",,,"33,80","22,70","28,25","36,07","34,95","39,14","89,30","6,43",,1,1,2,2,Joshuan
Sexta,02/01,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,03/01,09:00,12:00,"33,20","22,50","29,00","27,60",,N,,"8,50",,,"92,64",,,"33,20","22,50","27,85","36,92","35,80","40,05","89,39","3,98",,1,1,2,2,Leandro
Sábado,03/01,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,04/01,09:00,12:00,"33,40","23,10","28,60","27,80",,L,,"0,00",,,"89,76","86,32",,"33,40","23,10","28,25","37,36","36,72","39,14","93,82","2,88",,1,1,2,2,Leandro
Domingo,04/01,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,05/01,09:00,12:00,"34,00","22,70","28,80","27,60",,L,,"0,00",,,"83,68",,,"34,00","22,70","28,35","36,92","35,96","39,59","90,84","2,64",,1,1,1,2,Joshuan
Segunda,05/01,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,06/01,09:00,12:00,"35,00","22,30","28,40","27,60",,L,,"14,00",,,"90,56",,,"35,00","22,30","28,65","36,92","36,28","38,68","93,79","7,12",,1,1,3,1,Murillo
Terça,06/01,15:00,18:00,"34,40",,"33,40","32,80",,N,,,,,,,,,,,"49,73","49,25","49,73","99,03",,,1,1,2,2,Sabrina
Quarta,07/01,09:00,12:00,"35,80","23,30","27,60","26,40",,S,,"5,00",,,"88,82",,,"35,80","23,30","29,55","34,41","33,45","36,92","90,60","6,74",,1,1,3,3,amanda
Quarta,07/01,15:00,18:00,,,"32,00","30,40",,NE,,,,,,,,,,,"43,41","42,13","43,41","97,05",,,1,1,1,2,Joshuan
Quinta,08/01,09:00,12:00,"33,20","23,40","28,20","25,80",,NE,,"0,25",,,"87,92",,,"33,20","23,40","28,30","33,22","31,30","38,24","81,85","1,15",,1,1,1,2,Amanda
Quinta,08/01,15:00,18:00,,,"30,80","28,20",,SO,,,,,,,,,,,"38,24","36,16","38,24","94,56",,,1,1,1,2,Joshuan
Sexta,09/01,09:00,12:00,"33,60","22,70","28,40","26,00",,N,,"37,25",,,"100,00","70,72",,"33,60","22,70","28,15","33,61","31,69","38,68","81,92",,,1,1,2,2,Leandro
Sexta,09/01,15:00,18:00,,,"31,40","29,80",,SO,,,,,,,,,,,"41,94","40,66","41,94","96,95",,,2,1,1,2,Joshuan
Sábado,10/01,09:00,12:00,"33,80","21,50","29,20","27,40",,NE,,"3,50",,,"68,18",,,"33,80","21,50","27,65","36,50","35,06","40,52","86,52","6,04",,1,1,2,2,AMANDA
Sábado,10/01,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,11/01,09:00,12:00,"33,60","23,10","28,40","27,00",,NE,,"1,25",,,"65,84",,,"33,60","23,10","28,35","35,65","34,53","38,68","89,26","3,59",,1,1,2,2,AMANDA
Domingo,11/01,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,12/01,09:00,12:00,"33,20","23,00","29,00","27,00",,L,,"5,50",,,"68,80",,,"33,20","23,00","28,10","35,65","34,05","40,05","85,01","2,54",,1,1,1,2,Leadro
Segunda,12/01,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,13/01,09:00,12:00,"34,20","33,20","28,80","27,40",,NE,,"2,00",,,"64,54",,,"34,20","33,20","33,70","36,50","35,38","39,59","89,35","6,26",,1,1,2,2,Murillo
Terça,13/01,15:00,18:00,,,"28,00","27,00",,N,,,,,,,,,,,"35,65","34,85","35,65","97,76",,,1,1,1,3,Sabrina
Quarta,14/01,09:00,12:00,"33,20","23,80","28,40","27,00",,NE,,"3,00",,,"65,42",,,"33,20","23,80","28,50","35,65","34,53","38,68","89,26","2,12",,1,2,3,3,AMANDA
Quarta,14/01,15:00,18:00,,,"32,00","29,20",,L,,,,,,,,,,,"40,52","38,28","40,52","94,47",,,1,1,1,3,Joshuan
Quinta,15/01,09:00,12:00,"33,60","22,40","26,60","25,80",,NE,,"3,50",,,"63,68",,,"33,60","22,40","28,00","33,22","32,58","34,82","93,55","5,24",,1,2,3,3,AMANDA
Quinta,15/01,15:00,18:00,,,"29,80","28,20",,NE,,,,,,,,,,,"38,24","36,96","38,24","96,65",,,1,1,1,2,Joshuan
Sexta,16/01,09:00,12:00,"33,20","23,40","29,20","27,80",,L,,"0,00",,,"62,78",,,"33,20","23,40","28,30","37,36","36,24","40,52","89,44","0,90",,1,1,2,2,Leo
Sexta,16/01,15:00,18:00,,,"33,00","30,80",,SE,,,,,,,,,,,"44,41","42,65","44,41","96,04",,,,,,,Ju
Sábado,17/01,09:00,12:00,"34,20","24,10","29,00","27,80",,NE,,"5,00",,,"62,08",,,"34,20","24,10","29,15","37,36","36,40","40,05","90,87","5,70",,1,1,1,3,Ju
Sábado,17/01,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,18/01,09:00,12:00,"33,60","24,90","26,60","25,80",,NO,,"3,50",,,"63,18",,,"33,60","24,90","29,25","33,22","32,58","34,82","93,55","2,40",,1,2,3,3,Amanda
Domingo,18/01,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
